Sexo,TempoDeEstudo,ConsumoDeAlcool,TempoLivre,Internet,EscolaridadeDaMae,EscolaridadeDoPai,MediaDeNotas
F,2,1,3,no,superior,superior,5.666666666666667
F,2,1,3,yes,primario,primario,5.333333333333333
F,2,2,3,yes,primario,primario,8.333333333333334
F,3,1,2,yes,superior,fundamental,14.666666666666666
F,2,1,3,no,medio,medio,8.666666666666666
M,2,1,4,yes,superior,medio,15.0
M,2,1,4,yes,fundamental,fundamental,11.666666666666666
F,2,1,1,no,superior,superior,5.666666666666667
M,2,1,2,yes,medio,fundamental,17.666666666666668
M,2,1,5,yes,medio,superior,14.666666666666666
F,2,1,3,yes,superior,superior,9.0
F,3,1,2,yes,fundamental,primario,11.333333333333334
M,1,1,3,yes,superior,superior,14.0
M,2,1,4,yes,superior,medio,10.333333333333334
M,3,1,5,yes,fundamental,fundamental,15.333333333333334
F,1,1,4,yes,superior,superior,14.0
F,3,1,2,yes,superior,superior,13.666666666666666
F,2,1,3,no,medio,medio,9.333333333333334
M,1,2,5,yes,medio,fundamental,5.333333333333333
M,1,1,1,yes,superior,medio,9.333333333333334
M,2,1,4,yes,superior,medio,14.0
M,1,1,4,yes,superior,superior,14.0
M,2,1,5,yes,superior,fundamental,15.333333333333334
M,2,2,4,yes,fundamental,fundamental,12.666666666666666
F,3,1,3,yes,fundamental,superior,9.0
F,1,1,2,yes,fundamental,fundamental,7.666666666666667
M,1,1,2,yes,fundamental,fundamental,11.666666666666666
M,1,2,2,yes,superior,fundamental,15.333333333333334
M,2,1,3,yes,medio,superior,11.0
M,2,5,4,yes,superior,superior,11.0
M,2,3,4,yes,superior,superior,10.666666666666666
M,2,1,3,yes,superior,superior,16.666666666666668
M,2,1,5,yes,superior,medio,16.333333333333332
M,2,1,3,yes,medio,medio,10.0
M,1,1,4,yes,medio,fundamental,13.666666666666666
F,1,1,5,no,fundamental,medio,7.0
M,3,1,4,yes,superior,medio,16.333333333333332
M,3,1,4,yes,superior,superior,15.333333333333334
F,3,1,3,yes,medio,superior,11.666666666666666
F,1,1,3,no,fundamental,fundamental,13.333333333333334
F,2,1,3,yes,fundamental,fundamental,9.333333333333334
M,1,2,4,yes,superior,superior,12.0
M,2,1,3,yes,superior,superior,18.333333333333332
M,1,1,4,yes,fundamental,fundamental,9.0
F,2,2,3,yes,fundamental,fundamental,9.666666666666666
F,2,1,2,yes,superior,medio,7.333333333333333
F,2,1,3,yes,medio,medio,11.333333333333334
M,4,1,2,yes,superior,medio,19.333333333333332
